name,TypeSpecific,Type,Region,Zone
KlondikeWind3_2,WT-Onshore,Wind,BPAT,US
Koma_Kulshan,Hydro_ZeroK,Hydro,PSEI,US
Koyle_Ranch,Hydro_ZeroK,Hydro,IPMV,US
LaGrande_1,Hydro_ZeroK,Hydro,TPWR,US
LaGrande_2,Hydro_ZeroK,Hydro,TPWR,US
LaGrande_3,Hydro_ZeroK,Hydro,TPWR,US
LaGrande_4,Hydro_ZeroK,Hydro,TPWR,US
LaGrande_5,Hydro_ZeroK,Hydro,TPWR,US
LakeCreek_BPA1,Hydro_FixedDispatch,Hydro,BPAT,US
LakeCreek_BPA2,Hydro_FixedDispatch,Hydro,BPAT,US
LangleyGulchCC-Total,CCWhole-NatGas-Aero,Gas CC,IPTV,US
LateralVentures,Hydro_ZeroK,Hydro,IPMV,US
Leaburg_1,Hydro_ZeroK,Hydro,BPAT,US
Leaburg_2,Hydro_ZeroK,Hydro,BPAT,US
LeaningJunipr1,WT-Onshore,Wind,BPAT,US
LeaningJunipr2A,WT-Onshore,Wind,BPAT,US
LeaningJunipr2B,WT-Onshore,Wind,BPAT,US
LeaningJunipr3,WT-Onshore,Wind,BPAT,US
Lemolo_2_1,Hydro,Hydro,PACW,US
Lemolo1-1,Hydro_FixedDispatch,Hydro,PACW,US
Lemoyne_1,Hydro_FixedDispatch,Hydro,IPMV,US
Libby_1,Hydro_FixedDispatch,Hydro,BPAT,US
Libby_2,Hydro_FixedDispatch,Hydro,BPAT,US
Libby_3,Hydro_FixedDispatch,Hydro,BPAT,US
Libby_4,Hydro_FixedDispatch,Hydro,BPAT,US
Libby_5,Hydro_FixedDispatch,Hydro,BPAT,US
LimeWind,WT-Onshore,Wind,IPTV,US
LindenWind,WT-Onshore,Wind,BPAT,US
Little_Falls_1,Hydro,Hydro,AVA,US
Little_Falls_2,Hydro,Hydro,AVA,US
Little_Falls_3,Hydro,Hydro,AVA,US
Little_Falls_4,Hydro,Hydro,AVA,US
Little_Goose_1,Hydro,Hydro,BPAT,US
Little_Goose_2,Hydro,Hydro,BPAT,US
Little_Goose_3,Hydro,Hydro,BPAT,US
Little_Goose_4,Hydro,Hydro,BPAT,US
Little_Goose_5,Hydro,Hydro,BPAT,US
Little_Goose_6,Hydro,Hydro,BPAT,US
LittleMac1,Hydro_ZeroK,Hydro,IPMV,US
LittleMac2,Hydro_ZeroK,Hydro,IPMV,US
LittleMac3,Hydro_ZeroK,Hydro,IPMV,US
LittleMac4,Hydro_ZeroK,Hydro,IPMV,US
LittlewoodArksh,Hydro_ZeroK,Hydro,IPMV,US
LittleWoodHydro,Hydro_ZeroK,Hydro,IPMV,US
