name,TypeSpecific,Type,Region,Zone
K_Road_Moapa,SolarPV-NonTracking,PV,NEVP,NV
K_Road_Modesto,SolarPV-Tracking,PV,BANC,CA
KamloopsGreen1,Bio-ST,Biomass,BCHA,CAN
KamloopsGreen2,Bio-ST,Biomass,BCHA,CAN
KamloopsGreen3,Bio-ST,Biomass,BCHA,CAN
Kanaka_KAN1,HydroRPS_FixedDispatch,Hydro,CIPV,CA
Kananaskis1_1,Hydro,Hydro,AESO,CAN
Kananaskis2_HY2,Hydro,Hydro,AESO,CAN
Kananaskis3_HY3,Hydro,Hydro,AESO,CAN
KansasSouth,SolarPV-NonTracking,PV,CIPV,CA
KaselWitherpoonCoLS1,Hydro_ZeroK,Hydro,IPMV,PNW
KaselWitherpoonCoLS2,Hydro_ZeroK,Hydro,IPMV,PNW
KaselWitherpoonCoLS3,Hydro_ZeroK,Hydro,IPMV,PNW
KaselWitherpoonCoLS4,Hydro_ZeroK,Hydro,IPMV,PNW
KaselWitherpoonCoLS5,Hydro_ZeroK,Hydro,IPMV,PNW
KaselWitherpoonCoUE5,Hydro_ZeroK,Hydro,IPMV,PNW
KaselWitherpoonCoUW1,Hydro_ZeroK,Hydro,IPMV,PNW
KaselWitherpoonCoUW2,Hydro_ZeroK,Hydro,IPMV,PNW
KaselWitherpoonCoUW3,Hydro_ZeroK,Hydro,IPMV,PNW
KaselWitherpoonCoUW4,Hydro_ZeroK,Hydro,IPMV,PNW
Kaweah1,Hydro_ZeroK,Hydro,CISC,CA
Kaweah2,Hydro_ZeroK,Hydro,CISC,CA
Kaweah3-1,Hydro_ZeroK,Hydro,CISC,CA
Kaweah3-2,Hydro_ZeroK,Hydro,CISC,CA
Keephills1_Exp,ST-Coal,Coal,AESO,CAN
Keephills2_Exp,ST-Coal,Coal,AESO,CAN
Keephills3_1,ST-Coal,Coal,AESO,CAN
Kekawaka,HydroRPS_FixedDispatch,Hydro,CIPV,CA
Keller_Canyon1,Bio-ICE,Biomass,CIPV,CA
Keller_Canyon2,Bio-ICE,Biomass,CIPV,CA
Kelly_Ridge_1,Hydro_FixedDispatch,Hydro,CIPV,CA
Kemano_1,Hydro_ZeroK,Hydro,BCHA,CAN
Kemano_2,Hydro_ZeroK,Hydro,BCHA,CAN
Kemano_3,Hydro_ZeroK,Hydro,BCHA,CAN
